title,release_year,description,type,rating,runtime,imdb_rating,genre,director,stars,gross
Home Alone 2: Lost in New York,1992.0,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Movie,PG,120.0,6.8,"Adventure, Comedy, Crime",Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara, ",$173.59M
The Polar Express,2004.0,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.",Movie,G,100.0,6.6,"Animation, Adventure, Comedy",Robert Zemeckis,"Tom Hanks, Chris Coppola, Michael Jeter, Leslie Zemeckis, ",$183.37M
The Santa Clause,1994.0,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",Movie,PG,97.0,6.5,"Comedy, Drama, Family",John Pasquin,"Tim Allen, Judge Reinhold, Wendy Crewson, Eric Lloyd, ",$144.83M
Scrooged,1988.0,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve.",Movie,PG-13,101.0,6.9,"Comedy, Drama, Fantasy",Richard Donner,"Bill Murray, Karen Allen, John Forsythe, John Glover, ",$60.33M
Klaus,2019.0,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Movie,PG,96.0,8.1,"Animation, Adventure, Comedy",Sergio Pablos,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones, Will Sasso, ",
Miracle on 34th Street,1994.0,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.,Movie,PG,114.0,6.6,"Drama, Family, Fantasy",Les Mayfield,"Richard Attenborough, Elizabeth Perkins, Dylan McDermott, J.T. Walsh, ",$17.19M
Last Christmas,2019.0,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",Movie,PG-13,103.0,6.5,"Comedy, Drama, Fantasy",Paul Feig,"Madison Ingoldsby, Emma Thompson, Boris Isakovic, Lucy Miller, ",$35.15M
A Christmas Carol,2009.0,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Movie,PG,96.0,6.8,"Animation, Adventure, Comedy",Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Steve Valentine, ",$137.86M
The Santa Clause 2,2002.0,"Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",Movie,G,104.0,5.7,"Comedy, Family, Fantasy",Michael Lembeck,"Tim Allen, Spencer Breslin, Elizabeth Mitchell, Eric Lloyd, ",$139.24M
Miracle on 34th Street,1947.0,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",Movie,Not Rated,96.0,7.9,"Comedy, Drama, Family",George Seaton,"Edmund Gwenn, Maureen O'Hara, John Payne, Gene Lockhart, ",$2.65M
The Muppet Christmas Carol,1992.0,The Muppets present their own touching rendition of Charles Dickens' classic tale.,Movie,G,85.0,7.7,"Comedy, Drama, Family",Brian Henson,"Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, ",$27.28M
Four Christmases,2008.0,A couple struggles to visit all four of their divorced parents on Christmas.,Movie,PG-13,88.0,5.7,"Comedy, Drama, Romance",Seth Gordon,"Reese Witherspoon, Vince Vaughn, Mary Steenburgen, Robert Duvall, ",$120.15M
Christmas with the Kranks,2004.0,"With their daughter, Blair, away in Peru, Luther and Nora Krank decide to skip Christmas all together until she decides to come home, causing an uproar when they have to celebrate it at the last minute.",Movie,PG,99.0,5.4,"Comedy, Family",Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, M. Emmet Walsh, ",$73.78M
A Bad Moms Christmas,2017.0,"As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.",Movie,R,104.0,5.6,Comedy,Jon Lucas,"Scott Moore, Mila Kunis, Kristen Bell, Kathryn Hahn, Jay Hernandez, ",$72.11M
A Christmas Carol,1984.0,A bitter old miser who rationalizes his uncaring nature learns real compassion when three spirits visit him on Christmas Eve.,Movie,PG,100.0,7.8,"Drama, Family, Fantasy",Clive Donner,"George C. Scott, Frank Finlay, Angela Pleasence, Edward Woodward, ",
The Christmas Chronicles,2018.0,"The story of sister and brother, Kate and Teddy Pierce, whose Christmas Eve plan to catch Santa Claus on camera turns into an unexpected journey that most kids could only dream about.",Movie,PG,104.0,7.0,"Adventure, Comedy, Family",Clay Kaytis,"Kurt Russell, Darby Camp, Judah Lewis, Oliver Hudson, ",
Bad Santa,2003.0,A miserable conman and his partner pose as Santa and his Little Helper to rob department stores on Christmas Eve. But they run into problems when the conman befriends a troubled kid.,Movie,R,92.0,7.1,"Comedy, Crime, Drama",Terry Zwigoff,"Billy Bob Thornton, Bernie Mac, Lauren Graham, John Ritter, ",$60.06M
Jingle All the Way,1996.0,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one.",Movie,PG,89.0,5.7,"Adventure, Comedy, Family",Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, ",$60.57M
Office Christmas Party,2016.0,"When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand...",Movie,R,105.0,5.9,Comedy,Josh Gordon,"Will Speck, Jason Bateman, Olivia Munn, T.J. Miller, Jennifer Aniston, ",$54.77M
The Nightmare Before Christmas,1993.0,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",Movie,PG,76.0,7.9,"Animation, Family, Fantasy",Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, ",$75.08M
Home Alone 3,1997.0,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car.",Movie,PG,102.0,4.5,"Action, Comedy, Crime",Raja Gosnell,"Alex D. Linz, Olek Krupa, Rya Kihlstedt, Lenny von Dohlen, ",$30.88M
Rudolph the Red-Nosed Reindeer,1964.0,"Young reindeer Rudolph lives at the North Pole. His father is one of Santa's reindeer and it is expected that Rudolph will eventually be one too. However, he has a feature which is a setback and causes him to be ostracized: his red nose.",Movie,TV-G,47.0,8.0,"Animation, Adventure, Comedy",Larry Roemer,"Billie Mae Richards, Burl Ives, Larry D. Mann, Paul Soles, ",
Deck the Halls,2006.0,Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space.,Movie,PG,93.0,5.0,"Comedy, Family",John Whitesell,"Matthew Broderick, Danny DeVito, Kristin Chenoweth, Kristin Davis, ",$35.09M
The Santa Clause 3: The Escape Clause,2006.0,"Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.",Movie,G,92.0,4.8,"Adventure, Comedy, Family",Michael Lembeck,"Tim Allen, Martin Short, Elizabeth Mitchell, Eric Lloyd, ",$84.50M
A Christmas Carol,1951.0,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve he will be visited by three spirits who will show him the errors of his ways.",Movie,TV-PG,86.0,8.1,"Drama, Family, Fantasy",Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns, ",
Edward Scissorhands,1990.0,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Movie,PG-13,105.0,7.9,"Drama, Fantasy, Romance",Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall, ",$56.36M
This Is Christmas,2022.0,"Rom-com set in London during the Christmas season, following Adam and Emma on their daily commute from the village of Langton to London, where they meet the same passengers every day.",Movie,,111.0,6.9,"Comedy, Drama, Romance",Chris Foggin,"Alfred Enoch, Kaya Scodelario, Timothy Spall, Jack Donoghue, ",
Santa Claus: The Movie,1985.0,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,Movie,PG,107.0,6.2,"Adventure, Family, Fantasy",Jeannot Szwarc,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith, ",$23.72M
Arthur Christmas,2011.0,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a present they misplaced to a young girl in less than two hours.,Movie,PG,97.0,7.1,"Animation, Adventure, Comedy",Sarah Smith,"Barry Cook, James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie, ",$46.46M
How the Grinch Stole Christmas!,1966.0,A grumpy hermit hatches a plan to steal Christmas from the Whos of Whoville.,Movie,Not Rated,26.0,8.3,"Animation, Comedy, Family",Chuck Jones,"Ben Washam, Boris Karloff, Thurl Ravenscroft, June Foray, Dal McKennon, ",
Santa Claus Is Comin' to Town,1970.0,A mailman reveals the origin of Santa Claus.,Movie,TV-G,48.0,7.7,"Animation, Adventure, Comedy",Jules Bass,"Arthur Rankin Jr., Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees, ",
Fred Claus,2007.0,"Fred Claus, Santa's bitter older brother, is forced to move to the North Pole to help Santa and the elves prepare for Christmas in exchange for cash.",Movie,PG,116.0,5.6,"Comedy, Family, Fantasy",David Dobkin,"Vince Vaughn, Paul Giamatti, Elizabeth Banks, John Michael Higgins, ",$72.01M
Love Hard,2021.0,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.",Movie,TV-MA,104.0,6.3,"Comedy, Romance",Hernán Jiménez,"Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito, ",
Holidate,2020.0,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",Movie,TV-MA,104.0,6.1,"Comedy, Romance",John Whitesell,"Emma Roberts, Luke Bracey, Kristin Chenoweth, Frances Fisher, ",
Happiest Season,2020.0,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas by revealing a nasty secret.",Movie,PG-13,102.0,6.6,"Comedy, Drama, Romance",Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber, ",
The Christmas Chronicles: Part Two,2020.0,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas - forever.",Movie,PG,112.0,6.0,"Adventure, Comedy, Family",Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, ",
Noelle,2019.0,"Santa's daughter must take over the family business when her father retires and her brother, who is supposed to inherit the Santa role, gets cold feet.",Movie,G,100.0,6.3,"Adventure, Comedy, Family",Marc Lawrence,"Anna Kendrick, Shirley MacLaine, Bill Hader, Kingsley Ben-Adir, ",
Jack Frost,1998.0,"A father who can't keep his promises is killed in a car accident. One year later, he returns as a snowman who has the final chance to put things right with his son before he is gone forever.",Movie,PG,101.0,5.4,"Comedy, Drama, Family",Troy Miller,"Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy, ",$34.55M
Black Christmas,1974.0,"During their Christmas break, a group of sorority girls are stalked by a stranger.",Movie,R,98.0,7.1,"Horror, Mystery, Thriller",Bob Clark,"Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon, ",$4.05M
Little Women,2019.0,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Movie,PG,135.0,7.8,"Drama, Romance",Greta Gerwig,"Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, ",$108.10M
Five More Minutes: Moments Like These,2022.0,"Inspired by Scotty McCreery's song ""Five More Minutes"", a Christmas wish gets realized in an unexpected way, as a young widow has to return to her old home for the holidays",Movie,TV-G,84.0,6.8,"Drama, Family, Romance",Kevin Fair,"Ashley Williams, Lucas Bryant, Brady Droulis, Francesca Bianchi, ",
A Christmas Carol,1999.0,An old bitter miser who makes excuses for his uncaring nature learns real compassion when three ghosts visit him on Christmas Eve.,Movie,TV-PG,95.0,7.4,"Drama, Fantasy",David Hugh Jones,"Patrick Stewart, Richard E. Grant, Joel Grey, Ian McNeice, ",
Meet Me in St. Louis,1944.0,Young love and childish fears highlight a year in the life of a turn-of-the-century family.,Movie,Passed,113.0,7.5,"Comedy, Drama, Family",Vincente Minnelli,"Judy Garland, Margaret O'Brien, Mary Astor, Lucille Bremer, ",$7.57M
A Christmas Carol,1938.0,An elderly miser learns the error of his ways on Christmas Eve.,Movie,Passed,69.0,7.5,"Drama, Family, Fantasy",Edwin L. Marin,"Reginald Owen, Gene Lockhart, Kathleen Lockhart, Terry Kilburn, ",
8-Bit Christmas,2021.0,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",Movie,PG,97.0,6.7,"Comedy, Family",Michael Dowse,"Winslow Fegley, Neil Patrick Harris, Steve Zahn, June Diane Raphael, ",
Nativity!,2009.0,An uptight but secretly heartbroken primary school teacher's little white lie about Hollywood coming to see his class' nativity play grows like wildfire in his rag-tag school low on self-esteem.,Movie,PG,105.0,6.4,"Comedy, Family",Debbie Isitt,"Martin Freeman, Marc Wootton, Jason Watkins, Ashley Jensen, ",
Fatman,2020.0,"A rowdy, unorthodox Santa Claus is fighting to save his declining business. Meanwhile, Billy, a neglected and precocious 12 year old, hires a hit man to kill Santa after receiving a lump of coal in his stocking.",Movie,R,100.0,5.9,"Action, Adventure, Comedy",Eshom Nelms,"Ian Nelms, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste, Chance Hurstfield, ",
Scrooge,1970.0,"A musical retelling of Charles Dickens' classic novel about an old bitter miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.",Movie,G,113.0,7.5,"Drama, Family, Fantasy",Ronald Neame,"Albert Finney, Alec Guinness, Edith Evans, Kenneth More, ",$3.70M
Home Sweet Home Alone,2021.0,A married couple tries to steal back a valuable heirloom from a troublesome kid.,Movie,PG,93.0,3.6,"Comedy, Crime, Family",Dan Mazer,"Ellie Kemper, Rob Delaney, Archie Yates, Aisling Bea, ",
Christmas in Connecticut,1945.0,A food writer who has lied about being the perfect housewife must try to cover her deception when her boss and a returning war hero invite themselves to her home for a traditional family Christmas.,Movie,Not Rated,101.0,7.3,"Comedy, Romance",Peter Godfrey,"Barbara Stanwyck, Dennis Morgan, Sydney Greenstreet, Reginald Gardiner, ",
Shazam!,2019.0,A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.,Movie,PG-13,132.0,7.0,"Action, Adventure, Comedy",David F. Sandberg,"Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer, ",$140.37M
The Year Without a Santa Claus,1974.0,"When a weary and discouraged Santa Claus considers skipping his Christmas Eve run one year, Mrs. Claus and his elves set out to change his mind.",Movie,TV-G,51.0,7.7,"Animation, Comedy, Family",Jules Bass,"Arthur Rankin Jr., Shirley Booth, Mickey Rooney, Dick Shawn, George S. Irving, ",
Holiday Inn,1942.0,"At an inn which is open only on holidays, a crooner and a hoofer vie for the affections of a beautiful up-and-coming performer.",Movie,Passed,100.0,7.3,"Comedy, Drama, Music",Mark Sandrich,"Robert Allen, Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale, ",$8.18M
Iron Man 3,2013.0,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Movie,PG-13,130.0,7.1,"Action, Adventure, Sci-Fi",Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle, ",$409.01M
A Charlie Brown Christmas,1965.0,"Depressed at the commercialism he sees around him, Charlie Brown tries to find a deeper meaning to Christmas.",Movie,TV-G,25.0,8.3,"Animation, Comedy, Drama",Bill Melendez,"Ann Altieri, Chris Doran, Sally Dryer, Bill Melendez, ",
Just Friends,2005.0,"While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer.",Movie,PG-13,96.0,6.2,"Comedy, Romance",Roger Kumble,"Ryan Reynolds, Amy Smart, Anna Faris, Chris Klein, ",$32.62M
The Nutcracker and the Four Realms,2018.0,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Movie,PG,99.0,5.6,"Adventure, Family, Fantasy",Lasse Hallström,"Joe Johnston, Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren, ",$54.86M
Surviving Christmas,2004.0,"A lonely, obnoxious young millionaire pays a family to spend Christmas with him.",Movie,PG-13,91.0,5.4,"Comedy, Romance",Mike Mitchell,"Ben Affleck, Christina Applegate, James Gandolfini, Catherine O'Hara, ",$11.66M
The Bishop's Wife,1947.0,A debonair angel comes to Earth to help an Episcopalian bishop and his wife in their quest to raise money for the new church.,Movie,Not Rated,109.0,7.6,"Comedy, Drama, Fantasy",Henry Koster,"Cary Grant, Loretta Young, David Niven, Monty Woolley, ",
Going My Way,1944.0,"When young Father O'Malley arrives at St. Dominic's, old Father Fitzgibbon doesn't think much of the church's newest member.",Movie,Passed,126.0,7.0,"Comedy, Drama, Music",Leo McCarey,"Bing Crosby, Barry Fitzgerald, Frank McHugh, James Brown, ",$16.30M
Prancer,1989.0,"A farm girl nurses a wounded reindeer she believes is one of Santa's, hoping to bring it back to health in time for Christmas. Her holiday spirit inspires those around her, something her disheartened father is having trouble understanding.",Movie,G,103.0,6.4,"Drama, Family, Fantasy",John D. Hancock,"Sam Elliott, Cloris Leachman, Rutanya Alda, Abe Vigoda, ",$18.59M
Home for Christmas,2019.0,"When the constant comments on her single status and society's expectations of the perfect family Christmas finally get to 30-year-old Johanne, she starts a 24-day hunt for a partner to bring home for Christmas.",Movie,TV-MA,29.0,7.7,"Comedy, Drama, Romance",Ida Elise Broch,"Dennis Storhøi, Oddgeir Thune, Hege Schøyen, ",
Jingle Jangle: A Christmas Journey,2020.0,"An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.",Movie,PG,122.0,6.4,"Family, Fantasy, Musical",David E. Talbert,"Forest Whitaker, Keegan-Michael Key, Hugh Bonneville, Anika Noni Rose, ",
The Shop Around the Corner,1940.0,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",Movie,Not Rated,99.0,8.0,"Comedy, Drama, Romance",Ernst Lubitsch,"Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut, ",$0.20M
Bad Santa 2,2016.0,"Fueled by cheap whiskey, greed and hatred, Willie teams up once again with his angry little sidekick, Marcus, to knock off a Chicago charity on Christmas Eve.",Movie,R,92.0,5.6,"Comedy, Crime, Drama",Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks, ",$17.78M
The Man Who Invented Christmas,2017.0,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",Movie,PG,104.0,7.0,"Biography, Comedy, Drama",Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes, Miriam Margolyes, ",$5.68M
Rise of the Guardians,2012.0,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.",Movie,PG,97.0,7.2,"Animation, Action, Adventure",Peter Ramsey,"Hugh Jackman, Alec Baldwin, Isla Fisher, Chris Pine, ",$103.41M
Frosty the Snowman,1969.0,A living snowman and a little girl struggle to elude a greedy magician who is after the snowman's magic hat.,Movie,TV-G,25.0,7.3,"Animation, Short, Comedy",Jules Bass,"Arthur Rankin Jr., Jackie Vernon, Billy De Wolfe, Jimmy Durante, Paul Frees, ",
A Merry Friggin' Christmas,2014.0,"Boyd Mitchler and his family must spend Christmas with his estranged family of misfits. Upon realizing that he left all his son's gifts at home, he hits the road with his dad in an attempt to make the 8-hour round trip before sunrise.",Movie,PG-13,88.0,5.1,"Comedy, Drama",Tristram Shapeero,"Joel McHale, Lauren Graham, Clark Duke, Oliver Platt, ",
Mr. Soft Touch,1949.0,"When he learns that a gangster has taken over his nightclub and murdered his partner, returning WW2 hero Joe Miracle steals the money from the club's safe and hides in a settlement home, while the mob is on his tail.",Movie,Approved,93.0,6.6,"Crime, Drama, Romance",Gordon Douglas,"Henry Levin, Glenn Ford, Evelyn Keyes, John Ireland, Beulah Bondi, ",
Little Women,1994.0,The March sisters live and grow in post-Civil War America.,Movie,PG,115.0,7.3,"Drama, Family, Romance",Gillian Armstrong,"Susan Sarandon, Winona Ryder, Kirsten Dunst, Claire Danes, ",$50.08M
A Christmas Story 2,2012.0,"Five years later, Ralphie has his eyes fixed on a car. But trouble is sure to follow.",Movie,PG,85.0,3.5,"Comedy, Family",Brian Levant,"Daniel Stern, Braeden Lemasters, Stacey Travis, Valin Shinyei, ",
I'll Be Home for Christmas,1998.0,"A college student faces an impossible journey when he is left stranded in the desert, thousands of miles from home, with no money and only a few days left until Christmas.",Movie,PG,86.0,5.5,"Comedy, Family",Arlene Sanford,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole, ",$12.21M
The Gift of Peace,2022.0,"After her husband's death, long-time devoted Christian Traci stops believing, and on her second Christmas without him, she visits a support group in search of comfort and inspiration.",Movie,TV-G,84.0,7.1,"Comedy, Drama, Family",Fred Gerber,"Nikki Deloach, Brennan Elliott, Princess Davis, Cardi Wong, ",
Serendipity,2001.0,"A couple search for each other years after the night they first met, fell in love, and separated, convinced that one day they'd end up together.",Movie,PG-13,90.0,6.8,"Comedy, Romance",Peter Chelsom,"John Cusack, Kate Beckinsale, Jeremy Piven, Bridget Moynahan, ",$50.29M
Angel Falls Christmas,2021.0,A devoted doctor with little time for the Christmas spirit is in desperate need of an intervention from the unlikeliest of places.,Movie,6,84.0,5.0,"Drama, Romance",Jerry Ciccoritti,"Chad Michael Murray, Jessica Lowndes, David Reale, Samora Smallwood, ",
The Apartment,1960.0,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Movie,Approved,125.0,8.3,"Comedy, Drama, Romance",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, ",$18.60M
A Christmas Miracle for Daisy,2021.0,"Whitney (Wagner) owns Marietta Designs, an interior-design firm which she runs with her friend Andi (Tegan Moss). She's designing Santa's float for the town's annual Christmas parade when a...                See full summary »",Movie,AL,85.0,6.0,Romance,Mike Rohl,"Jill Wagner, Nick Bateman, Tegan Moss, Joe Costa, ",
This Christmas,2007.0,A Christmastime drama centered around the Whitfield family's first holiday together in four years.,Movie,PG-13,117.0,6.3,"Comedy, Drama, Romance",Preston A. Whitmore II,"Regina King, Columbus Short, Delroy Lindo, Idris Elba, ",$49.12M
The Ref,1994.0,"A cat burglar is forced to take a bickering, dysfunctional family hostage on Christmas Eve.",Movie,R,97.0,6.9,"Comedy, Crime, Drama",Ted Demme,"Denis Leary, Judy Davis, Kevin Spacey, Robert J. Steinmiller Jr., ",$11.44M
A Christmas Prince,2017.0,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?",Movie,TV-PG,92.0,5.8,"Comedy, Family, Romance",Alex Zamm,"Rose McIver, Ben Lamb, Alice Krige, Honor Kneafsey, ",
A Christmas Horror Story,2015.0,"Interwoven stories that take place on Christmas Eve, as told by one festive radio host: A family brings home more than a Christmas tree, a student documentary becomes a living nightmare, a Christmas spirit terrorizes, Santa slays evil.",Movie,Not Rated,99.0,5.8,"Fantasy, Horror, Mystery",Grant Harvey,"Steven Hoban, Brett Sullivan, William Shatner, George Buza, Rob Archer, Zoé De Grand Maison, ",
Time for Him to Come Home for Christmas,2022.0,"Four days before Christmas, Elizabeth Athens receives a voicemail from a unknown number she doesn't recognize. In the message, a man's voice, whom she doesn't know, makes one final plea to the love of his life for a second chance.",Movie,TV-G,84.0,7.6,"Comedy, Drama, Romance",David Winning,"Holland Roden, Tyler Hynes, Steve Bacic, Dion Karas, ",
The Snowman,1982.0,"On Christmas Eve, a young boy builds a snowman that comes to life and takes him to the North Pole to meet Father Christmas.",Movie,G,26.0,8.2,"Animation, Family, Fantasy",Jimmy T. Murakami,"Dianne Jackson, Peter Auty, David Bowie, Raymond Briggs, Mel Smith, ",
Santa's Slay,2005.0,"Santa Claus is actually a demon who lost a bet with an Angel, so he becomes the giver of toys and happiness. But when the bet is off, he returns to his evil ways.",Movie,R,78.0,5.3,"Comedy, Fantasy, Horror",David Steiman,"Bill Goldberg, Douglas Smith, Emilie de Ravin, Robert Culp, ",
